Date,Close
1/3/2017,10.65
1/4/2017,10.66
1/5/2017,10.71
1/6/2017,10.67
1/9/2017,10.7
1/10/2017,10.69
1/11/2017,10.7
1/12/2017,10.7
1/13/2017,10.68
1/17/2017,10.72
1/18/2017,10.66
1/19/2017,10.64
1/20/2017,10.65
1/23/2017,10.68
1/24/2017,10.65
1/25/2017,10.62
1/26/2017,10.63
1/27/2017,10.64
1/30/2017,10.64
1/31/2017,10.66
2/1/2017,10.64
2/2/2017,10.64
2/3/2017,10.65
2/6/2017,10.68
2/7/2017,10.69
2/8/2017,10.72
2/9/2017,10.68
2/10/2017,10.68
2/13/2017,10.67
2/14/2017,10.65
2/15/2017,10.63
2/16/2017,10.66
2/17/2017,10.67
2/21/2017,10.67
2/22/2017,10.68
2/23/2017,10.69
2/24/2017,10.73
2/27/2017,10.7
2/28/2017,10.71
3/1/2017,10.65
3/2/2017,10.64
3/3/2017,10.64
3/6/2017,10.63
3/7/2017,10.62
3/8/2017,10.59
3/9/2017,10.56
3/10/2017,10.57
3/13/2017,10.55
3/14/2017,10.56
3/15/2017,10.61
3/16/2017,10.6
3/17/2017,10.62
3/20/2017,10.64
3/21/2017,10.66
3/22/2017,10.67
3/23/2017,10.66
3/24/2017,10.67
3/27/2017,10.69
3/28/2017,10.66
3/29/2017,10.68
3/30/2017,10.66
3/31/2017,10.68
4/3/2017,10.71
4/4/2017,10.7
4/5/2017,10.71
4/6/2017,10.71
4/7/2017,10.68
4/10/2017,10.69
4/11/2017,10.73
4/12/2017,10.75
4/13/2017,10.77
4/17/2017,10.76
4/18/2017,10.8
4/19/2017,10.78
4/20/2017,10.76
4/21/2017,10.76
4/24/2017,10.74
4/25/2017,10.71
4/26/2017,10.72
4/27/2017,10.73
4/28/2017,10.74
5/1/2017,10.72
5/2/2017,10.73
5/3/2017,10.72
5/4/2017,10.71
5/5/2017,10.71
5/8/2017,10.69
5/9/2017,10.69
5/10/2017,10.68
5/11/2017,10.69
5/12/2017,10.73
5/15/2017,10.72
5/16/2017,10.73
5/17/2017,10.79
5/18/2017,10.78
5/19/2017,10.78
5/22/2017,10.77
5/23/2017,10.75
5/24/2017,10.77
5/25/2017,10.77
5/26/2017,10.77
5/30/2017,10.79
5/31/2017,10.79
6/1/2017,10.79
6/2/2017,10.82
6/5/2017,10.81
6/6/2017,10.83
6/7/2017,10.81
6/8/2017,10.8
6/9/2017,10.79
6/12/2017,10.79
6/13/2017,10.79
6/14/2017,10.83
6/15/2017,10.82
6/16/2017,10.82
6/19/2017,10.81
6/20/2017,10.83
6/21/2017,10.83
6/22/2017,10.83
6/23/2017,10.84
6/26/2017,10.84
6/27/2017,10.81
6/28/2017,10.81
6/29/2017,10.78
6/30/2017,10.77
7/3/2017,10.75
7/5/2017,10.75
7/6/2017,10.74
7/7/2017,10.73
7/10/2017,10.73
7/11/2017,10.74
7/12/2017,10.77
7/13/2017,10.75
7/14/2017,10.76
7/17/2017,10.77
7/18/2017,10.8
7/19/2017,10.8
7/20/2017,10.8
7/21/2017,10.82
7/24/2017,10.81
7/25/2017,10.77
7/26/2017,10.79
7/27/2017,10.78
7/28/2017,10.79
7/31/2017,10.79
8/1/2017,10.82
8/2/2017,10.81
8/3/2017,10.83
8/4/2017,10.81
8/7/2017,10.81
8/8/2017,10.8
8/9/2017,10.81
8/10/2017,10.82
8/11/2017,10.83
8/14/2017,10.81
8/15/2017,10.8
8/16/2017,10.81
8/17/2017,10.83
8/18/2017,10.83
8/21/2017,10.83
8/22/2017,10.82
8/23/2017,10.84
8/24/2017,10.83
8/25/2017,10.84
8/28/2017,10.84
8/29/2017,10.86
8/30/2017,10.85
